TradeDate,SPY,GLD,AMZN,GOOG,KPTI,GILD,MPC
30-05-2019,0.002727473,0.006761237,-0.001578868,0.001333677,-0.042343327,-0.000473503,-0.039130924
31-05-2019,-0.013566904,0.013386857,-0.022972618,-0.012891856,-0.024519677,-0.017358508,-0.024061288
03-06-2019,-0.00254613,0.014329651,-0.047520884,-0.063015643,-0.050920042,0.021926539,0.024485746
04-06-2019,0.021474403,0.000319675,0.02154813,0.016101654,0.00558136,0.010785546,0.028447862
05-06-2019,0.008624848,0.002553666,0.005155598,-0.010337736,0.012903437,0.001863976,-0.016635922
06-06-2019,0.006481622,0.003262354,0.009081437,0.002032049,-0.005509694,-0.011079194,0.008560442
07-06-2019,0.009957305,0.005624438,0.027918958,0.020565811,0.0450121,0.025102015,-0.023347297
10-06-2019,0.004578439,-0.010003215,0.030892075,0.01336195,0.036304772,0.011713898,0.01457718
11-06-2019,-0.000242294,-0.001197569,0.00164859,-0.00153771,-0.057657877,-0.000302591,0.001885808
12-06-2019,-0.001766805,0.0051791,-0.004506574,-0.001567846,-0.023658996,0.010234892,-0.016888711
13-06-2019,0.004117769,0.006100694,0.008041713,0.010841357,0.057260752,0.003139706,0.01960641
14-06-2019,-0.00110558,-0.000316013,-0.000336904,-0.003146144,-0.006980824,-0.009448848,0.001251775
17-06-2019,0.000380158,-0.000632265,0.008712138,0.006566155,0.047872344,0.011089547,0.015517018
18-06-2019,0.010416578,0.005047324,0.00810057,0.010108893,-0.013445568,0.016260499,0.018912619
19-06-2019,0.002254651,0.006038971,0.003894878,-0.00115146,0.005063337,0.000879455,0.000402829
20-06-2019,0.009508962,0.024866155,0.004912449,0.008212435,0.039609101,0.004531142,0.045081955
21-06-2019,-0.006306553,0.006613693,-0.003598338,0.009367337,0.039656268,0.011743485,0.013574419
24-06-2019,-0.00122519,0.014741593,0.001359393,-0.005685172,-0.014095719,-0.007813684,-0.020334508
25-06-2019,-0.009856359,0.001939245,-0.018791907,-0.026497251,-0.073622818,-0.005243137,-0.004078054
